"crash_unit_id","crash_record_id","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1853483","654f65ba50eb0f5253bd6a9802f80482378f8d92c17fdf27b8a5ab6c2ef7704fcb4ddf266cac907f52856c4e0efc104fe1f1dde28d1bf96f57401f75ddeaf4fe","2024-06-29T22:15:00.000","1","DRIVER",,"1765652",,"UNKNOWN","OTHER (EXPLAIN IN NARRATIVE)","IL",,"UNKNOWN","MOTORCYCLE (OVER 150CC)","UNKNOWN/NA","S","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"Y","FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853484","654f65ba50eb0f5253bd6a9802f80482378f8d92c17fdf27b8a5ab6c2ef7704fcb4ddf266cac907f52856c4e0efc104fe1f1dde28d1bf96f57401f75ddeaf4fe","2024-06-29T22:15:00.000","2","DRIVER",,"1765656",,"GENERAL MOTORS CORPORATION (GMC)","TERRAIN","IL","2012","NONE","PASSENGER","PERSONAL","N","TURNING LEFT",,,"1",,,,,"Y","Y",,,,,,,,"Y","Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853473","fed1ae226e3b6d6731fdffe6c13384f2288d9a492edf063f019cf2005782a6e4545c2e0459d35c98f89e29372ca8c9238f5fe0ede1d2630871b50cf2ee98c020","2024-06-29T22:15:00.000","1","DRIVER",,"1765644",,"HYUNDAI","SANTA FE",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","S","STRAIGHT AHEAD",,,"1",,,,,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853474","fed1ae226e3b6d6731fdffe6c13384f2288d9a492edf063f019cf2005782a6e4545c2e0459d35c98f89e29372ca8c9238f5fe0ede1d2630871b50cf2ee98c020","2024-06-29T22:15:00.000","2","DRIVER",,"1765653",,"CADILLAC","ESCALADE","IL",,"NONE","TRUCK - SINGLE UNIT","PERSONAL","W","STRAIGHT AHEAD","Y",,"1",,,,,,,"Y","Y","Y","Y",,,,,,,,"SIDE-RIGHT-REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853475","fed1ae226e3b6d6731fdffe6c13384f2288d9a492edf063f019cf2005782a6e4545c2e0459d35c98f89e29372ca8c9238f5fe0ede1d2630871b50cf2ee98c020","2024-06-29T22:15:00.000","3","DRIVER",,"1765657",,"VOLKSWAGEN","TIGUAN",,,"UNKNOWN","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,"Y",,,,,,,,,"Y","Y","Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853453","0a919730aee76e0fe4ce48b79928d91b951b99de89597dffa09c93f069b51a645c7d5c6433114b638c365fdf24e4305e85b632d250d93026da1a1f7889877776","2024-06-29T22:12:00.000","1","DRIVER","1","1765630",,"FORD","ESCAPE","IL","2005","UNKNOWN","PASSENGER","PERSONAL","W","AVOIDING VEHICLES/OBJECTS",,,"2",,,,,,,,,,,,,,"N","Y",,,"FRONT-LEFT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853454","0a919730aee76e0fe4ce48b79928d91b951b99de89597dffa09c93f069b51a645c7d5c6433114b638c365fdf24e4305e85b632d250d93026da1a1f7889877776","2024-06-29T22:12:00.000","2","DRIVER",,"1765634",,"CHEVROLET","MALIBU","IL","2017","UNKNOWN","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,"N","Y",,,,,,,,,,,,"FRONT-RIGHT-CORNER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853459","211a07a2de1e72f74e8b1a518757a906293a9d33781f1833daadb20c908a2e776e70f0250b25bef7af21967cea2de424104655dc6a495bdc304d9305ef557594","2024-06-29T22:00:00.000","1","DRIVER",,"1765678",,"BMW","OTHER (EXPLAIN IN NARRATIVE)","IL","2001","UNKNOWN","PASSENGER","UNKNOWN/NA","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853460","211a07a2de1e72f74e8b1a518757a906293a9d33781f1833daadb20c908a2e776e70f0250b25bef7af21967cea2de424104655dc6a495bdc304d9305ef557594","2024-06-29T22:00:00.000","2","DRIVER",,"1765654",,"HONDA","ACCORD","IL","2005","UNKNOWN","PASSENGER","PERSONAL","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,"Y",,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1853437","360d62c508341ac0e59f0a46cc3ee2c9e1d358edb51055ff3e2b4a16992c9c5c9db18222d95ea1ef0d534a3e5a50d5f69f0eed0417be8e2babba158703752949","2024-06-29T22:00:00.000","1","DRIVER",,"1765613",,"UNKNOWN","MOTORIZED","IL",,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","W","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
